,Unnamed: 0,business_id,name,address,City,State,postal_code,latitude,longitude,stars,review_count,Business Status,categories,compliment_count,Business.Status,Special Category, Number of Cinemas nearby, Number of Beach nearby,Number of Museum nearby ,Number of ShoppingMall nearby
20,21,8K73iRrUIXcwTB5SKetptQ,Sushi-Haru,3817 Northdale Blvd,Tampa,FL,33624,28.0943138,-82.5041143,3.5,63,Close,"Japanese, Restaurants, Seafood, Sushi Bars",0,Close,Seafood,0,0,0,1
21,22,1XttS5NTqLxhyNb-Rt2fOQ,Keith's Oaks Bar & Grill,108 Lithia Pinecrest Rd,Brandon,FL,33511,27.9369722778,-82.281604732,3.0,93,Open,"Restaurants, Seafood",0,Open,Seafood,0,0,0,0
22,23,USekrAG0-4tJUs9V2gBBOQ,The Honu,516 Grant St,Dunedin,FL,34698,28.0136119,-82.7852494,4.0,234,Open,"Poke, Breakfast & Brunch, Parks, Mexican, Soup, Nightlife, Food, American (New), Restaurants, Bars, Music Venues, Active Life, Sandwiches, Tiki Bars, Hawaiian, Seafood, Arts & Entertainment, Dog Parks, Tex-Mex, Salad",0,Open,Seafood,0,0,1,0
23,24,L-YdO_NODKXXT3bkS0nUpg,RumFish Grill,6000 Gulf Blvd,Saint Pete Beach,FL,33706,27.732229,-82.746455,3.5,664,Open,"American (Traditional), Restaurants, Bars, Seafood, Nightlife",0,Open,Seafood,0,0,0,0
24,25,NbgxCd-ImFiiV9mUtZRT8Q,Big Ray's Fish Camp & Grille Riverwalk,333 S Franklin St,Tampa,FL,33602,27.940566062,-82.4549970111,3.0,59,Open,"Seafood, Restaurants",0,Open,Seafood,0,2,0,0
25,26,bd8bXrhpd2HIRo5qpSZhJg,Lima Rotisserie Chicken And Peruvian Cuisine,19062 Bruce B Downs Blvd,Tampa,FL,33647,28.146239,-82.354592,4.5,55,Open,"Soup, Seafood, Peruvian, Chicken Shop, Latin American, Restaurants",0,Open,Seafood,1,0,0,0
26,27,gKPWC7F219oEbu5NXPzH4g,Sam's Beach Bar,6325 Clark St,Hudson,FL,34667,28.3619386,-82.7103407,3.5,555,Open,"Seafood, American (Traditional), Music Venues, Caribbean, Arts & Entertainment, Nightlife, Restaurants",0,Open,Seafood,0,0,0,1
27,28,BjBDHqHhMXSxgyVipccznQ,Rusty Pelican - Tampa,2425 Rocky Point Dr,Tampa,FL,33607,27.962265,-82.569991,4.0,745,Open,"African, Venues & Event Spaces, Steakhouses, Restaurants, Seafood, American (New), Event Planning & Services",0,Open,Seafood,1,3,0,0
28,29,fa6InRseC0Uxnt5d90E3LQ,Trophy Fish,2060 Central Ave,Saint Petersburg,FL,33712,27.7708598,-82.6614776,4.0,167,Open,"Nightlife, Bars, Seafood, Restaurants",0,Open,Seafood,2,0,0,0
29,30,hKameFsaXh9g8WQbv593UA,Aquafinz,16553 Pointe Village Dr,Lutz,FL,33558,28.1900210385,-82.5404296573,3.5,86,Close,"Seafood, Steakhouses, Salad, Comfort Food, Restaurants, Southern",0,Close,Seafood,0,0,0,2
30,31,gambCINfjny6RLKyZQzEtQ,Coast Tampa's Bay Cuisine,5312 Avion Park Dr,Tampa,FL,33607,27.9576738,-82.5334455,4.0,38,Open,"American (New), Seafood, Breakfast & Brunch, Restaurants",0,Open,Seafood,1,3,0,0
31,32,V8H6z5ulGJEkaFUyRfmLKw,Sculley's Waterfront Restaurant,190 Boardwalk Pl E,Madeira Beach,FL,33708,27.78556,-82.7812484,2.5,355,Open,"Seafood, Bars, Restaurants, Nightlife, Cocktail Bars, Mexican",0,Open,Seafood,0,0,0,0
32,33,tsx84z4c0B-y6J5fqfvBqg,Mr and Mrs Crab,7550 US Hwy 19 N,Pinellas Park,FL,33781,27.8406421,-82.6854098,4.0,360,Open,"Nightlife, Cajun/Creole, Bars, Cocktail Bars, Restaurants, Seafood",0,Open,Seafood,1,0,2,0
33,34,Sw7qcWQ5_iOUjBZMhSxyOQ,Ted Peter's Famous Smoked Fish,1350 Pasadena Ave S,South Pasadena,FL,33707,27.755415,-82.735603,4.0,480,Open,"Seafood, Burgers, Restaurants",0,Open,Seafood,0,0,0,0
34,35,vR1ZFHY1Z0DtkzeHZX0taA,Caruso Ristorante Italiano,124 107th Ave,Treasure Island,FL,33706,27.7699108,-82.7683528,4.5,76,Open,"Restaurants, Sandwiches, Breakfast & Brunch, Italian, Seafood",0,Open,Seafood,0,0,0,0
35,36,ZbJU9IM3vOpAwRMUWwb9pw,Crab House,811 Dr Martin Luther King Jr St S,Saint Petersburg,FL,33705,27.7619063,-82.64691,4.5,19,Open,"Restaurants, Seafood",0,Open,Seafood,2,0,0,0
36,37,ICqgjbOpBD9SUtE5PQC9sA,Captain Bill's Oyster Bar,145 107th Ave,Treasure Island,FL,33706,27.769373,-82.767551,4.0,493,Open,"American (New), Cocktail Bars, Seafood, Bars, Restaurants, Nightlife",0,Open,Seafood,0,0,0,0
37,38,jcQ2ykQjVjSiVFf0EtH6eg,Michael's Grill,11720 N Dale Mabry Hwy,Tampa,FL,33618,28.055233,-82.505702,4.0,162,Open,"American (New), Nightlife, Breakfast & Brunch, Bars, American (Traditional), Seafood, Restaurants",0,Open,Seafood,0,0,0,3
38,39,_4CDv5gKHpPb1ALZKS4Sjw,Bro's Pizzeria & Bar,2535 E Bay Dr,Largo,FL,33771,27.9161635,-82.7609045,4.0,98,Open,"Restaurants, Nightlife, Seafood, Bars, Italian, Pizza",0,Open,Seafood,1,0,0,1
39,40,jn7yLpUT9OvU0UMlCux8XA,River's Edge,200 N Ashley Dr,Tampa,FL,33602,27.946133,-82.459523,3.5,26,Open,"Restaurants, Cocktail Bars, American (New), Bars, Hotels & Travel, Tapas/Small Plates, Hotels, Event Planning & Services, Nightlife, Seafood",0,Open,Seafood,0,2,0,0
40,41,pFnoqSPstZKsnyeNBIeuZg,Angelos Pizza,2621 US Hwy 19,Holiday,FL,34691,28.197055,-82.740837,4.0,115,Open,"Italian, Pizza, Restaurants, Seafood",0,Open,Seafood,0,0,1,0
41,42,tUhPRgJ7mBx-1fGef7Nv3w,TJ's Italian Cafe,1515 Gulf Blvd,Indian Rocks Beach,FL,33785,27.8984072785,-82.8479462971,3.5,166,Open,"Italian, Restaurants, Seafood, Pizza",0,Open,Seafood,0,0,1,0
42,43,tP6tk-M8y09QKIoOO0JIbw,Shark Tales,677 75th Ave,St Pete Beach,FL,33706,27.7410758,-82.7541737,3.0,96,Close,"Nightlife, Restaurants, American (New), Seafood, Bars, American (Traditional), Hot Dogs",0,Close,Seafood,0,0,0,0
43,44,TXoxXn3IETBBJxZQMQK3rw,La Casona,5709 N Armenia Ave,Tampa,FL,33603,27.9994336,-82.4841383,3.5,142,Open,"Seafood, Soup, Restaurants, Spanish, Puerto Rican, Caribbean",0,Open,Seafood,0,0,3,0
44,45,NH9LSB4Qz2v0fHTMz9sQ0w,Boat Run Oyster,"615 Channelside Dr, Ste 5",Tampa,FL,33602,27.9434725,-82.4475534,4.5,75,Close,"Live/Raw Food, Food, Seafood, Restaurants, Specialty Food",0,Close,Seafood,0,2,0,0
45,46,vUTkL2n4AgWj8MZuXDblWA,Spinners Revolving Roof-Top Lounge,5250 Gulf Blvd,St. Pete Beach,FL,33706,27.7259921827,-82.7428642718,3.5,177,Open,"Hotels, Caterers, Restaurants, Seafood, Hotels & Travel, Sandwiches, Salad, Event Planning & Services",0,Open,Seafood,0,1,0,0
46,47,hAmuto6UndVroyd_DaD-TA,Lobster Haven,12807 W Hillsborough Ave,Tampa,FL,33635,28.0300603,-82.6384793,4.0,441,Open,"Specialty Food, Seafood Markets, Seafood, Food, Restaurants",0,Open,Seafood,0,0,0,0
47,48,8agPzX-O-8LEDjDNloSdzQ,Groupers On The Gulf,1401 Gulf Blvd,Indian Rocks Beach,FL,33785,27.896856,-82.848033,4.5,117,Open,"Soup, Seafood, Salad, Cuban, Restaurants, Barbeque",0,Open,Seafood,0,0,1,0
48,49,kQANkgj6vHc1xCmxfNBNjA,Enzo's Pizzeria & Pasta from New York,11653 Countryway Blvd,Westchase,FL,33588,28.0699285,-82.6300709,4.0,38,Close,"Pasta Shops, Sandwiches, Pizza, Seafood, Food, Specialty Food, Italian, Restaurants",0,Close,Seafood,0,0,0,0
49,50,A_O6Dsmh3gyee_S_ahoTyA,Gulfport Family Restaurant,2025 49th St S,Gulfport,FL,33707,27.749346,-82.700096,3.0,24,Open,"American (Traditional), Seafood, Breakfast & Brunch, Restaurants, Diners, Food, Desserts",0,Open,Seafood,0,0,0,0
50,51,-mq1DwgcLU96PQbmcv3jRQ,P J's Oyster Bar,500 1st St,Indian Rocks Beach,FL,33785,27.8845027,-82.8495749,3.5,118,Close,"Nightlife, Seafood, Bars, Restaurants",0,Close,Seafood,0,0,0,0
51,52,f_RSvdde7iSuvdLuQz3VgQ,Grill 131,13079 Park Blvd N,Seminole,FL,33776,27.8449679,-82.8195152,3.5,51,Close,"American (New), Desserts, Restaurants, Food, Steakhouses, Seafood, American (Traditional)",0,Close,Seafood,0,0,0,0
52,53,TB1FQ3iO9KJWOU56sA7Ozw,Boardwalk Pasta & Seafood,5901 Sun Blvd,Saint Petersburg,FL,33715,27.7133102,-82.7143138,3.0,61,Close,"Seafood, Beer, Wine & Spirits, American (New), Nightlife, Bars, American (Traditional), Food, Restaurants",0,Close,Seafood,0,1,0,0
53,54,LnJSsNVZkStgtj86fJrKxQ,J D's Restaurant & Lounge,125 Gulf Blvd,Indian Rocks Beach,FL,33785,27.8791056191,-82.8501277135,3.0,200,Open,"Bars, Seafood, Nightlife, Lounges, Restaurants",0,Open,Seafood,0,0,0,0
54,55,nEL3oEQEhOAI1o4Bzgkbnw,Long John Silver's,351 Missouri Ave N,Largo,FL,33770,27.9198368,-82.7881131,2.5,9,Close,"Seafood, Restaurants, Fast Food",0,Close,Seafood,1,0,0,0
55,56,OQ1tbQ2V0SpNfDikkd8Zuw,Captain Just Crab House,11010 30th St,Tampa,FL,33612,28.0486157,-82.42661,4.0,9,Close,"Restaurants, Seafood",0,Close,Seafood,1,0,1,0
56,57,RnqU698MbIjq_eZHEzYL6g,Top China,3810 W Neptune St,Tampa,FL,33629,27.9297615054,-82.5065715719,3.0,43,Open,"Seafood, Chinese, Restaurants, Thai",0,Open,Seafood,1,0,0,0
57,58,H96e2s__y-oodr_hkRUQNw,Doc Ford’s Rum Bar & Grille,610 2nd Ave NE,Saint Petersburg,FL,33701,27.7728341,-82.6262161,4.0,347,Open,"Nightlife, American (Traditional), Bars, Restaurants, Seafood, Caribbean",0,Open,Seafood,2,0,0,0
58,59,E34saIsYxyuKSJhWwmlb0Q,New Far East Chinese Rest,5527 S 78th St,Tampa,FL,33619,27.8983084,-82.3698957,4.0,26,Open,"Restaurants, Chinese, Seafood",0,Open,Seafood,2,0,1,0
59,60,XDyrMUdIWRBXA-d9kNoB5w,Kaz's Seafood Dive,6190 N Hwy 41,Apollo Beach,FL,33572,27.7681528426,-82.3931179258,2.5,19,Close,"Seafood, Restaurants",0,Close,Seafood,0,1,0,0
60,61,UX7mhQ7zubpAlboAcP0FCQ,Great Wall,3153 4th St N,Saint Petersburg,FL,33704,27.8009309,-82.6377181,2.5,39,Open,"Chinese, Seafood, Restaurants, Soup",0,Open,Seafood,2,0,4,0
61,62,AP_sb7dETsflRNNkJinYUQ,Chill Restaurant & Bar,357 Corey Ave,Saint Pete Beach,FL,33706,27.742394,-82.7499036,4.0,287,Open,"Bars, Tapas/Small Plates, Seafood, Tapas Bars, Nightlife, Breakfast & Brunch, Restaurants, American (New)",0,Open,Seafood,0,0,0,0
62,63,Rv6P37KiiuowrXti2JHZNQ,Nuevo Vallarta Authentic Mexican Food,9359 US Hwy 19 N,Pinellas Park,FL,33782,27.856714,-82.694275,4.0,106,Open,"Event Planning & Services, Chicken Wings, Latin American, Caterers, Restaurants, Mexican, Tacos, New Mexican Cuisine, Seafood, Salad",0,Open,Seafood,1,0,2,1
63,64,4FhRbipPKfjk9absHHrfaA,Clear Sky on Cleveland,418 Cleveland St,Clearwater,FL,33755,27.965888,-82.8005450602,4.5,350,Open,"Restaurants, Tapas Bars, Food, Nightlife, Bars, Event Planning & Services, Caterers, Seafood, American (New), Desserts, Venues & Event Spaces, Tapas/Small Plates, Breakfast & Brunch, American (Traditional)",0,Open,Seafood,0,0,0,0
64,65,zYu2D8FzczailDkEMURExg,Jimmy Guana's,401 2nd St,Indian Rocks Beach,FL,33785,27.8823519,-82.8476129,3.0,170,Open,"Sandwiches, Restaurants, Seafood, Steakhouses",0,Open,Seafood,0,0,0,0
65,66,IUN-1btz9-CiL2b6tDNQqg,Benedetto's Ristorante Italiano,21529 Village Lakes Shopping Center Dr,Land O Lakes,FL,34639,28.1905807372,-82.4596807184,3.5,400,Open,"Arts & Entertainment, Restaurants, Italian, Beer, Wine & Spirits, Fruits & Veggies, Farms, Specialty Food, Seafood, Food",0,Open,Seafood,0,0,0,2
66,67,fOStJUhq7V-qE8RL6xepDw,Parkside Cafe,8180 49th St N,Pinellas Park,FL,33781,27.84619,-82.70033,4.0,120,Open,"Breakfast & Brunch, Desserts, Seafood, Restaurants, American (Traditional), American (New), Food",0,Open,Seafood,2,0,2,0
67,68,G7353dWcPSSbbGAAkPt9Tg,Crab Shack,5430 Baylea Ave,Port Richey,FL,34668,28.2695086,-82.7243244,3.0,69,Open,"Restaurants, Seafood, American (Traditional), Salad, Burgers",1,Open,Seafood,0,0,1,0
68,69,rE9X9bRStJHLNW3--YpBgA,Chill Restaurant & Bar,7410 Gulf Blvd,Saint Pete Beach,FL,33706,27.7415308,-82.7512571,4.0,275,Close,"Restaurants, Tapas Bars, Breakfast & Brunch, Seafood",0,Close,Seafood,0,0,0,0
69,70,NUGDAOHkIovwn0hmts-C8A,Chancy's,2509 N Park Rd,Plant City,FL,33563,28.039822,-82.104878,4.0,13,Close,"Seafood, Restaurants, Sandwiches",0,Close,Seafood,0,0,0,0
70,71,UzVplwpLiffTIxhLbSnlzw,Southern Seafood,3343 S West Shore Blvd,Tampa,FL,33629,27.9137341,-82.526722,4.5,36,Close,"Seafood, Restaurants, Food, Seafood Markets, Farmers Market, Sandwiches, Specialty Food",0,Close,Seafood,0,0,0,0
71,72,PXDLSN8Fg-YQmwGprVrRyA,Hernando Beach Tropical Grille,4139 Shoal Line Blvd,Hernando Beach,FL,34607,28.489677,-82.651001,4.0,106,Open,"Restaurants, Bars, Seafood, Nightlife, Local Flavor, American (Traditional), Tiki Bars",0,Open,Seafood,0,0,0,0
72,73,kHg2z92NsImxYob-3o194Q,La Trattoria Restaurant Da Gaetano,2152 Main St,Dunedin,FL,34698,28.0204581,-82.7498008,4.0,111,Open,"Pasta Shops, Seafood, Mexican, Restaurants, Food, Specialty Food, Italian",0,Open,Seafood,1,0,1,1
73,74,ebjExMyGlSfz_JXwvBa27g,Saffron Indian Cuisine,10865 Cross Creek Blvd,Tampa,FL,33647,28.143208,-82.291095,4.0,331,Open,"Specialty Food, Indian, Vegetarian, Seafood, Restaurants, Burgers, Wraps, Desserts, Buffets, Vegan, Food",0,Open,Seafood,0,0,0,0
74,75,siI0jxPhtrTAxV9GYJlBfg,Salem's Fresh Eats,1605 18th Ave S,Saint Petersburg,FL,33712,27.7523596,-82.6551169,2.5,15,Open,"Greek, Middle Eastern, Seafood, Fast Food, Food, Diners, Ethnic Food, Salad, Chicken Wings, Sandwiches, Restaurants, Mediterranean, Specialty Food",0,Open,Seafood,0,0,0,0
75,76,6Z89Ixagyc0mrVnyZHiIVw,Catch Twenty Three,10103 Montague St,Tampa,FL,33626,28.0433568,-82.5970998,4.0,407,Open,"Restaurants, Latin American, Caribbean, Sushi Bars, Seafood",0,Open,Seafood,0,0,0,0
76,77,KDTH7t0imbCGuZi78Q2vyg,Blue Oyster Seafood & Chops,1600 US Hwy 19,Holiday,FL,34691,28.1822498869,-82.7395602218,3.0,46,Close,"Restaurants, Seafood",0,Close,Seafood,0,0,1,0
77,78,wbwDE3g8j4w-TGy_E6dMSw,Cazador Grill,10918 N 56th St,Temple Terrace,FL,33617,28.0481089,-82.3942414,4.5,259,Open,"Restaurants, Steakhouses, Peruvian, Seafood",0,Open,Seafood,0,0,0,0
78,79,DiysGe4irEY2Yu0iIhdkmw,Blinkers Beachside,476 Mandalay Ave,Clearwater,FL,33767,27.9813638,-82.8272013,4.0,294,Open,"Lounges, Nightlife, Bars, Seafood, Steakhouses, Restaurants",0,Open,Seafood,0,0,1,0
79,80,hkNlx4gU-BPijHBKsLkq5A,82 Degrees,7201 Sunset Way,St. Pete Beach,FL,33706,27.7393052,-82.7525744,4.5,75,Open,"Seafood, Event Planning & Services, Mexican, American (New), Nightlife, Restaurants, Venues & Event Spaces, Tacos, Bars",0,Open,Seafood,0,0,0,0
80,81,aAjOFpX5SBSoDkAsBSZeZw,Michi Ramen,18025 Highwoods Preserve Pkwy,Tampa,FL,33647,28.1318392916,-82.3651539326,4.5,148,Open,"Noodles, Seafood, Ramen, Restaurants, Japanese, Asian Fusion, Tapas/Small Plates",0,Open,Seafood,1,0,1,0
81,82,7sNKCi0aCm8_q5I1gb67ig,Backfin Blue Cafe,2913 Beach Blvd S,Gulfport,FL,33707,27.7406815,-82.7081359,4.0,95,Open,"Restaurants, Ice Cream & Frozen Yogurt, Food, Seafood, American (Traditional), Gelato",0,Open,Seafood,0,0,0,0
82,83,t61mOGkysO7KALLCME_O6w,Nubia Philly Steak & Pizza,12647 N 56th St,Tampa,FL,33617,28.061236,-82.39279,3.5,16,Close,"Kosher, Halal, Pizza, Middle Eastern, Restaurants, American (Traditional), Sandwiches, Seafood",0,Close,Seafood,0,0,0,0
83,84,rgwiq-qZeqz7JcbI6TuImA,Flanagans Irish Pub,465 Main St,Dunedin,FL,34698,28.0119513,-82.7864752,3.5,119,Open,"Bars, Irish Pub, Irish, Nightlife, American (New), Restaurants, Seafood",0,Open,Seafood,0,0,1,0
84,85,yy3XR0wu1K4BTAdQjRoc0w,Catches Waterfront Grille,7811 Bayview St,Port Richey,FL,34668,28.2702877142,-82.7259369073,3.5,322,Open,"Restaurants, Seafood",0,Open,Seafood,0,0,1,0
85,86,QEJBdigsRFDYljay50Kpjw,Whiskey River,5245 Limestone Dr,Port Richey,FL,34668,28.270134,-82.727182,3.5,85,Close,"Beer, Wine & Spirits, Food, Nightlife, Bars, Restaurants, American (Traditional), Seafood, Sports Bars",0,Close,Seafood,0,0,1,0
86,87,xODBZmX4EmlVvbqtKN7YKg,Surf Shack,12217 W Linebaugh Ave,Tampa,FL,33626,28.0568417,-82.6260275693,3.5,327,Open,"Seafood, Bars, American (New), Nightlife, Restaurants",0,Open,Seafood,0,0,0,0
87,88,9vmnXOpK8y9xFSSSlgnZsA,Gold Ring Cafe,2510 N Tampa St,Tampa,FL,33602,27.9665649,-82.4611651,4.0,15,Open,"Event Planning & Services, Seafood, Restaurants, Latin American, Spanish, Cuban, Caterers",0,Open,Seafood,0,0,2,0
88,89,TjBvLFDUj2Hz6bkELIJbng,Bar Fly Safety Harbor,"100 Main St, Ste 101",Safety Harbor,FL,34695,27.9906021349,-82.6883433248,4.0,540,Open,"Restaurants, Barbeque, Seafood, Bars, Nightlife, Pubs, Caribbean",0,Open,Seafood,0,0,0,0
89,90,IwX-BnGpGPwVRLo8Ugrpgg,Popeyes Louisiana Kitchen,28014 Wesley Chapel Blvd,Wesley Chapel,FL,33543,28.2360445,-82.352712,1.5,75,Open,"Fast Food, Chicken Wings, American (Traditional), Seafood, Restaurants",0,Open,Seafood,0,0,0,0
90,91,QR4LGIUwFmQvozSOT16qvQ,Manatees on the Bay,3128 Beach Blvd S,Gulfport,FL,33707,27.7380177797,-82.7075786144,3.0,68,Close,"Fast Food, Restaurants, Seafood, Bars, Nightlife, Beer Bar",0,Close,Seafood,0,0,0,0
91,92,EKqTHG-TXTrP-EWpUftL0w,CK's Eats & Drinks,325 S Gulfview Blvd,Clearwater Beach,FL,33767,27.973233912,-82.8292666368,3.0,139,Open,"Restaurants, Seafood, American (Traditional), Pizza, Chicken Wings, American (New)",0,Open,Seafood,0,0,1,0
92,93,ozvuAWFQf528aHHOnrM0yw,Chart House,7616 W Courtney Campbell Causeway,Tampa,FL,33607,27.9660251,-82.5666463,3.0,153,Close,"American (Traditional), Seafood, Steakhouses, Restaurants",0,Close,Seafood,1,3,0,0
93,94,WPPHb1QxdQzx-rWaX-XCLA,Barnacles Restaurant,926 Providence Rd,Brandon,FL,33511,27.925316,-82.31781,2.5,30,Close,"Seafood, American (Traditional), Burgers, Restaurants",0,Close,Seafood,1,0,0,0
94,95,z4pCmH_yphNtse3ySNCzFw,Palm Pavilion Beachside Grill & Bar,10 Bay Esplanade,Clearwater Beach,FL,33767,27.9851915,-82.8277504,3.5,805,Open,"Restaurants, Seafood, American (New), Food, Beer, Wine & Spirits",0,Open,Seafood,0,0,1,0
95,96,gywv3Kmx5mYMX9NDU2aWnQ,Doc's Louisiana Boil,3210 Central Ave,Saint Petersburg,FL,33712,27.7705784,-82.6774756,4.0,13,Close,"Cajun/Creole, Seafood, Restaurants, Chicken Wings",0,Close,Seafood,0,0,0,0
96,97,gydSKYChNcgZmOg6NiU64Q,Souzou Asian Kitchen,435 5th Ave N,Saint Petersburg,FL,33701,27.7777654,-82.6392707,3.5,179,Close,"Bars, Sushi Bars, Restaurants, Seafood, Asian Fusion, Nightlife, Japanese",0,Close,Seafood,2,0,2,0
97,98,4xNBm3oGqSryXvvl2X3TuQ,Shephard's Ocean Flame,619 S Gulfview Blvd,Clearwater Beach,FL,33767,27.967142,-82.826874,3.0,254,Open,"Restaurants, Event Planning & Services, Hotels, Seafood, Buffets, American (New), Resorts, Hotels & Travel, Sushi Bars, Breakfast & Brunch",0,Open,Seafood,0,0,1,0
98,99,FKgkGKRJYppEGCYuK_DOGg,Salt Rock Tavern,3689 Tampa Rd,Oldsmar,FL,34677,28.0451831,-82.6808239,4.0,307,Open,"Seafood, Nightlife, Restaurants, Comfort Food, Bars, American (New), Sports Bars",0,Open,Seafood,1,0,1,1
